blon,blat,alon,alat,branch
-78.61514,35.80457,-77.94336182,34.93609555,Raleigh
-78.61514,35.80457,-78.34085778,36.0478256,Raleigh
-78.61514,35.80457,-77.673012,36.35315256,Raleigh
-78.61514,35.80457,-78.84703237,35.35986291,Raleigh
-78.61514,35.80457,-78.41193721,35.56026342,Raleigh
-78.61514,35.80457,-77.92384236,35.94741063,Raleigh
-78.61514,35.80457,-78.39624698,35.03383911,Raleigh
-78.61514,35.80457,-78.67302022,35.7972029,Raleigh
-78.61514,35.80457,-78.13853274,36.40971462,Raleigh
-78.61514,35.80457,-77.98844516,35.37073085,Raleigh
-79.415321,35.158241,-79.17313113,35.45977941,Sandhills
-79.415321,35.158241,-79.4468257,35.24461774,Sandhills
-79.415321,35.158241,-79.73349495,34.94360406,Sandhills
-79.415321,35.158241,-79.47866824,34.78633355,Sandhills
-77.9298,34.22068,-78.22900471,34.03636969,Wilmington
-77.9298,34.22068,-78.70918695,34.27926962,Wilmington
-77.9298,34.22068,-77.87926379,34.21168698,Wilmington
-77.9298,34.22068,-77.8361123,34.46947594,Wilmington
-77.07439,35.13526,-76.80440957,34.74677336,New Bern
-77.07439,35.13526,-77.03870757,35.06675768,New Bern
-77.07439,35.13526,-77.35313438,35.02745439,New Bern
-77.07439,35.13526,-77.40064571,34.74154531,New Bern
-77.07439,35.13526,-76.77587436,35.10535618,New Bern
-77.44058,35.57082,-77.65632115,35.90373635,Greenville
-77.44058,35.57082,-77.66954264,35.46877557,Greenville
-77.44058,35.57082,-77.63185262,35.26232284,Greenville
-77.44058,35.57082,-77.38118292,35.57917029,Greenville
-77.44058,35.57082,-77.93131383,35.72698781,Greenville
-78.872392,35.97743,-79.23648264,35.74412379,Durham
-78.872392,35.97743,-78.90619802,35.98980064,Durham
-78.872392,35.97743,-78.65708076,36.22385494,Durham
-78.872392,35.97743,-79.08126524,35.97859598,Durham
-78.872392,35.97743,-78.97090224,36.37342192,Durham
-78.872392,35.97743,-78.40209972,36.33117776,Durham
